DATE,SCHED_TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STRING_STATUS,STATUS,DEP_TIME,DEP_DIFF
30/03/2023,9:20:00,KQ100,London (LHR),Kenya Airways,B788 (5Y-KZA),,Departed,9:35:00,15
30/03/2023,9:30:00,4F101,Mogadishu (MGQ),Freedom Airline Express,CRJ,,Unknown,0:00:00,-570
30/03/2023,9:40:00,5H1411,Malindi (MYD),Fly540,DH8,,Unknown,0:00:00,-580
30/03/2023,10:00:00,4F401,Kisimayu (KMU),Freedom Airline Express,EM2,,Unknown,0:00:00,-600
30/03/2023,10:10:00,JM8690,Ukunda (UKA),Jambojet,DH8D (5Y-JXM),,Departed,10:06:00,-4
30/03/2023,10:20:00,KQ604,Mombasa (MBA),Kenya Airways,E90,,Departed,10:31:00,11
30/03/2023,10:45:00,JM8604,Mombasa (MBA),Jambojet,DH4,,Canceled,0:00:00,-645
30/03/2023,11:20:00,WB453,Kigali (KGL),RwandAir,DH8D (9XR-WM),,Departed,11:54:00,34
30/03/2023,11:40:00,JM8646,Malindi (MYD),Jambojet,DH4,,Unknown,0:00:00,-700
30/03/2023,11:45:00,ET319,Addis Ababa (ADD),Ethiopian Airlines,B77W (ET-ASK),,Unknown,0:00:00,-705
30/03/2023,12:00:00,KQ508,Accra (ACC),Kenya Airways,B738 (5Y-CYD),,Departed,12:12:00,12
30/03/2023,12:10:00,JM8662,Eldoret (EDL),Jambojet,DH8D (5Y-JXC),,Departed,12:14:00,4
30/03/2023,12:15:00,KQ256,Antananarivo (TNR),Kenya Airways (Come Live The Magic Livery),E190 (5Y-FFJ),,Departed,12:29:00,14
30/03/2023,12:20:00,JM8716,Mombasa (MBA),Jambojet,DH8D (5Y-JXI),,Departed,12:31:00,11
30/03/2023,12:30:00,KQ730,Lilongwe (LLW),Kenya Airways (SkyTeam Livery),E190 (5Y-FFB),,Departed,12:37:00,7
30/03/2023,12:35:00,KQ762,Johannesburg (JNB),Kenya Airways (SkyTeam Livery),B738 (5Y-CYE),,Departed,12:44:00,9
30/03/2023,12:40:00,JM8658,Kisumu (KIS),Jambojet,DH8D (5Y-JXD),,Departed,13:14:00,34
30/03/2023,12:40:00,KQ270,Port Louis (MRU),Kenya Airways,E190 (5Y-FFC),,Departed,12:55:00,15
30/03/2023,13:00:00,KQ352,Juba (JUB),Kenya Airways,E190 (5Y-FFH),,Departed,13:16:00,16
30/03/2023,13:00:00,KQ464,Bujumbura (BJM),Kenya Airways,E90,,Departed,13:11:00,11
30/03/2023,13:00:00,KQ606,Mombasa (MBA),Kenya Airways,E190 (5Y-FFK),,Departed,13:06:00,6
30/03/2023,13:15:00,KQ704,Harare (HRE),Kenya Airways,E190 (5Y-FFG),,Departed,13:30:00,15
30/03/2023,13:30:00,KQ656,Kisumu (KIS),Kenya Airways,E90,,Canceled,0:00:00,-810
30/03/2023,13:40:00,5H429,Eldoret (EDL),Fly540,DH8,,Unknown,0:00:00,-820
30/03/2023,13:45:00,G9735,Sharjah (SHJ),Air Arabia,A21N (A6-ATF),,Departed,14:09:00,24
30/03/2023,13:50:00,JM8642,Malindi (MYD),Jambojet,DH8D (5Y-JXM),,Departed,14:00:00,10
30/03/2023,14:00:00,7C5205,Mwanza (MWZ),Jeju Air,72F,,Unknown,0:00:00,-840
30/03/2023,14:00:00,8V25,Mwanza (MWZ),Astral Aviation,727,,Unknown,0:00:00,-840
30/03/2023,14:00:00,5H401,Ukunda (UKA),Fly540,DH8,,Unknown,0:00:00,-840
30/03/2023,14:15:00,KQ414,Entebbe (EBB),Kenya Airways,E90,,Departed,14:25:00,10
30/03/2023,15:00:00,KQ608,Mombasa (MBA),Kenya Airways,73H,,Canceled,0:00:00,-900
30/03/2023,15:05:00,JM8654,Kisumu (KIS),Jambojet,DH4,,Canceled,0:00:00,-905
30/03/2023,15:10:00,JM8668,Eldoret (EDL),Jambojet,DH8D (5Y-JXH),,Departed,15:45:00,35
30/03/2023,15:45:00,JM8692,Ukunda (UKA),Jambojet,DH8D (5Y-JXD),,Departed,16:07:00,22
30/03/2023,16:05:00,JM8720,Mombasa (MBA),Jambojet,DH8D (5Y-JXI),,Departed,16:42:00,37
30/03/2023,16:30:00,KQ426,Kilimanjaro (JRO),Kenya Airways,E90,,Departed,16:30:00,0
30/03/2023,16:35:00,EK720,Dubai (DXB),Emirates,B77W (A6-EPP),,Departed,16:24:00,-11
30/03/2023,16:45:00,KQ202,Mumbai (BOM),Kenya Airways,B738 (5Y-CYB),,Departed,17:39:00,54
30/03/2023,17:00:00,KQ402,Addis Ababa (ADD),Kenya Airways,E90,,Departed,17:03:00,3
30/03/2023,17:00:00,KQ610,Mombasa (MBA),Kenya Airways,E190 (5Y-FFK),,Departed,17:06:00,6
30/03/2023,17:10:00,KQ310,Dubai (DXB),Kenya Airways,B788 (5Y-KZE),,Departed,17:26:00,16
30/03/2023,17:20:00,JM8644,Malindi (MYD),Jambojet,DH8D (5Y-JXM),,Departed,17:37:00,17
30/03/2023,17:25:00,JM8612,Mombasa (MBA),Jambojet,DH4,,Unknown,0:00:00,-1045
30/03/2023,17:25:00,KQ670,Kisumu (KIS),Kenya Airways,E190 (5Y-FFA),,Departed,17:31:00,6
30/03/2023,17:40:00,5H405,Mombasa (MBA),Fly540,DH8,,Unknown,0:00:00,-1060
30/03/2023,18:05:00,JM8656,Kisumu (KIS),Jambojet,DH8D (5Y-JXH),,Departed,18:47:00,42
30/03/2023,18:10:00,JM8664,Eldoret (EDL),Jambojet,DH8D (5Y-JXC),,Departed,17:10:00,-60
30/03/2023,18:10:00,QR1336,Doha (DOH),Qatar Airways,A332 (A7-ACM),,Departed,18:27:00,17
30/03/2023,18:30:00,KQ494,Zanzibar (ZNZ),Kenya Airways,E190 (5Y-FFH),,Departed,18:53:00,23
30/03/2023,18:30:00,KQ486,Dar-es-Salaam (DAR),Kenya Airways,E90,,Departed,18:59:00,29
30/03/2023,18:30:00,KQ534,Lagos (LOS),Kenya Airways,B738 (5Y-CYA),,Departed,18:57:00,27
30/03/2023,18:30:00,ET319,Addis Ababa (ADD),Ethiopian Airlines,B77W (ET-ASK),,Departed,18:43:00,13
30/03/2023,18:35:00,KQ416,Entebbe (EBB),Kenya Airways,E190 (5Y-KYT),,Departed,18:49:00,14
30/03/2023,18:40:00,5H409,Kisumu (KIS),Fly540,DH8,,Unknown,0:00:00,-1120
30/03/2023,19:00:00,ET307,Addis Ababa (ADD),Ethiopian Airlines,77L,,Canceled,0:00:00,-1140
30/03/2023,19:00:00,KQ612,Mombasa (MBA),Kenya Airways (SkyTeam Livery),E190 (5Y-FFB),,Departed,0:00:00,-1140
30/03/2023,19:25:00,PW712,Zanzibar (ZNZ),Precision Air,AT7,,Unknown,19:11:00,-14
30/03/2023,19:45:00,JM8718,Mombasa (MBA),Jambojet,DH8D (5Y-JXC),,Departed,20:33:00,48
30/03/2023,19:45:00,KQ306,Mombasa (MBA),Kenya Airways,B738 (5Y-CYC),,Departed,19:59:00,14
30/03/2023,20:00:00,PW720,Kilimanjaro (JRO),Precision Air,AT7,,Unknown,0:00:00,-1200
30/03/2023,20:50:00,WB403,Kigali (KGL),RwandAir,DH8D (9XR-WM),,Departed,21:02:00,12
30/03/2023,20:50:00,KQ204,Mumbai (BOM),Kenya Airways,738,,Unknown,0:00:00,-1250
30/03/2023,21:00:00,KQ764,Johannesburg (JNB),Kenya Airways,B738 (5Y-KYE),,Departed,22:43:00,43
30/03/2023,21:00:00,KQ2774,Johannesburg (JNB),Kenya Airways,73Y,,Unknown,0:00:00,-1260
30/03/2023,21:00:00,8V520,Johannesburg (JNB),Astral Aviation,767,,Unknown,0:00:00,-1260
30/03/2023,21:00:00,8V90,Maputo (MPM),Astral Aviation,727,,Unknown,0:00:00,-1260
30/03/2023,21:20:00,JM8714,Mombasa (MBA),Jambojet,DH4,,Unknown,0:00:00,-1280
30/03/2023,22:10:00,TC203,Dar-es-Salaam (DAR),Air Tanzania,DH8D (5H-TCE),,Departed,22:59:00,49
30/03/2023,22:25:00,LH591,Frankfurt (FRA),Lufthansa,A333 (D-AIKI),,Departed,22:34:00,9
30/03/2023,22:45:00,BA64,London (LHR),British Airways,A35K (G-XWBI),,Departed,23:06:00,21
30/03/2023,22:45:00,EK722,Dubai (DXB),Emirates,B77W (A6-EGR),,Departed,22:54:00,9
30/03/2023,22:45:00,UR205,Entebbe (EBB),Uganda Airlines,CRJ9 (5X-EQU),,Departed,22:13:00,-32
30/03/2023,23:00:00,MP8142,Amsterdam (AMS),KLM Cargo,B744 (PH-CKA),,Departed,23:17:00,17
30/03/2023,23:20:00,KQ348,Khartoum (KRT),Kenya Airways (Come Live The Magic Livery),E190 (5Y-FFJ),,Departed,23:37:00,17
30/03/2023,23:20:00,KQ514,Accra (ACC),Kenya Airways (SkyTeam Livery),B738 (5Y-CYE),,Departed,23:45:00,25
30/03/2023,23:30:00,AF813,Paris (CDG),Air France,B789 (F-HRBI),,Departed,0:12:00,-1398
30/03/2023,23:30:00,UU977,Paris (CDG),Air Austral,B788 (F-OLRB),,Departed,23:31:00,1
30/03/2023,23:30:00,8V2604,Liege (LGG),Astral Aviation,B744 (TF-AMM),,Departed,23:48:00,18
30/03/2023,23:35:00,KQ2,New York (JFK),Kenya Airways,B788,,Departed,0:49:00,-1366
30/03/2023,23:45:00,KQ488,Dar-es-Salaam (DAR),Kenya Airways (SkyTeam Livery),E190 (5Y-FFB),,Departed,0:01:00,-1424
30/03/2023,23:50:00,KQ112,Paris (CDG),Kenya Airways,788,,Canceled,0:00:00,-1430
30/03/2023,23:59:00,KL566,Amsterdam (AMS),KLM,B78X (PH-BKL),,Departed,0:09:00,10
30/03/2023,23:59:00,KQ624,Mombasa (MBA),Kenya Airways,E190 (5Y-FFA),,Departed,0:08:00,9
