DATE,SCHED_TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STRING_STATUS,STATUS,DEP_TIME,DEP_DIFF
29/03/2023,5:35,WB464,Kigali (KGL),RwandAir,DH4,,Unknown,0:00:00,-335
29/03/2023,6:00,JM8650,Kisumu (KIS),Jambojet,DH8D (5Y-JXD),,Departed,6:06:00,6
29/03/2023,6:00,D9301,Mogadishu (MGQ),Daallo Airlines,B734 (5Y-FQB),,Departed,6:44:00,44
29/03/2023,6:00,5H417,Mombasa (MBA),Fly540,DH8,,Unknown,0:00:00,-360
29/03/2023,6:05,TK638,Istanbul (IST),Turkish Airlines,A333 (TC-LNE),,Departed,6:56:00,51
29/03/2023,6:10,JM8660,Eldoret (EDL),Jambojet,DH8D (5Y-JXB),,Departed,6:20:00,10
29/03/2023,6:30,KQ600,Mombasa (MBA),Kenya Airways,E90,,Departed,6:40:00,10
29/03/2023,6:30,SV434,Jeddah (JED),Saudia,A333 (HZ-AQ24),,Departed,6:41:00,11
29/03/2023,6:30,XU553,Garowe (GGR),African Express Airways,CR2,,Unknown,0:00:00,-390
29/03/2023,6:30,XU525,Mogadishu (MGQ),African Express Airways,CR2,,Unknown,0:00:00,-390
29/03/2023,6:35,JM8600,Mombasa (MBA),Jambojet,DH8D (5Y-JXM),,Departed,6:59:00,24
29/03/2023,7:00,KQ2730,Lilongwe (LLW),Kenya Airways,73Y,,Unknown,0:00:00,-420
29/03/2023,7:00,8V5,Mogadishu (MGQ),Astral Aviation,727,,Unknown,0:00:00,-420
29/03/2023,7:15,JM8640,Malindi (MYD),Jambojet,DH8D (5Y-JXH),,Departed,7:22:00,7
29/03/2023,7:15,KQ706,Lusaka (LUN),Kenya Airways,B738 (5Y-CYB),,Departed,7:38:00,23
29/03/2023,7:20,KQ400,Addis Ababa (ADD),Kenya Airways,E90,,Departed,7:52:00,32
29/03/2023,7:20,KQ584,Ndola (NLA),Kenya Airways,B738 (5Y-KYD),,Departed,8:08:00,48
29/03/2023,7:30,KQ570,Douala (DLA),Kenya Airways (SkyTeam Livery),E190 (5Y-FFB),,Departed,7:55:00,25
29/03/2023,7:30,KQ792,Victoria Falls (VFA),Kenya Airways,E190 (5Y-FFA),,Departed,8:02:00,32
29/03/2023,7:35,KQ460,Bujumbura (BJM),Kenya Airways,E90,,Departed,7:44:00,9
29/03/2023,7:40,KQ482,Dar-es-Salaam (DAR),Kenya Airways,B738 (5Y-KYF),,Departed,8:06:00,26
29/03/2023,7:40,KQ554,Kinshasa (FIH),Kenya Airways,E190 (5Y-FFK),,Departed,8:32:00,52
29/03/2023,7:40,TC201,Dar-es-Salaam (DAR),Air Tanzania,DH8D (5H-TCF),,Departed,7:33:00,-7
29/03/2023,7:45,KQ420,Entebbe (EBB),Kenya Airways,E190 (5Y-FFH),,Departed,8:22:00,37
29/03/2023,7:45,KQ760,Johannesburg (JNB),Kenya Airways,B788 (5Y-KZG),,Departed,8:39:00,54
29/03/2023,8:00,JM8698,Ukunda (UKA),Jambojet,DH8D (5Y-JXC),,Departed,8:12:00,12
29/03/2023,8:00,KQ490,Zanzibar (ZNZ),Kenya Airways,E190 (5Y-FFG),,Departed,8:50:00,50
29/03/2023,8:00,KQ602,Mombasa (MBA),Kenya Airways (Come Live The Magic Livery),E190 (5Y-FFJ),,Departed,8:03:00,3
29/03/2023,8:00,UR203,Entebbe (EBB),Uganda Airlines,CRJ9 (5X-KDP),,Departed,7:58:00,-2
29/03/2023,8:00,XU513,Seiyun (GXF),African Express Airways,CR2,,Unknown,0:00:00,-480
29/03/2023,8:00,8V45,Lilongwe (LLW),Astral Aviation,737,,Unknown,0:00:00,-480
29/03/2023,8:00,5H441,Mombasa (MBA),Fly540,DH8,,Unknown,0:00:00,-480
29/03/2023,8:00,,Paris (CDG),Kenya Airways,B788 (5Y-KZB),,Departed,8:37:00,37
